[ 2026-07-05 16:57:09,888 ] 19 root - INFO - Initiate the data ingestion
[ 2026-07-05 16:57:33,068 ] 64 root - INFO - Performed train test split on the dataframe
[ 2026-07-05 16:57:33,068 ] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-07-05 16:57:33,068 ] 74 root - INFO - Exporting train and test file path.
[ 2026-07-05 16:57:33,240 ] 83 root - INFO - Exported train and test file path.
[ 2026-07-05 16:57:33,240 ] 21 root - INFO - Data Initiation Completed
[ 2026-07-05 16:57:33,240 ] 25 root - INFO - Initiate the data Validation
[ 2026-07-05 16:57:33,350 ] 32 root - INFO - Required number of columns:2
[ 2026-07-05 16:57:33,350 ] 33 root - INFO - Data frame has columns:31
[ 2026-07-05 16:57:33,350 ] 32 root - INFO - Required number of columns:2
[ 2026-07-05 16:57:33,350 ] 33 root - INFO - Data frame has columns:31
[ 2026-07-05 16:57:33,725 ] 27 root - INFO - data Validation Completed
[ 2026-07-05 16:57:33,725 ] 30 root - INFO - data Transformation started
[ 2026-07-05 16:57:33,725 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-07-05 16:57:33,725 ] 65 root - INFO - Starting data transformation
[ 2026-07-05 16:57:33,804 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-07-05 16:57:33,804 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-07-05 16:57:33,833 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-07-05 16:57:33,833 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-07-05 16:57:33,833 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-07-05 16:57:33,849 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-07-05 16:57:33,849 ] 34 root - INFO - data Transformation completed
[ 2026-07-05 16:57:33,849 ] 36 root - INFO - Model Training sstared
[ 2026-07-05 17:08:29,336 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-07-05 17:08:29,406 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-07-05 17:08:29,406 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-07-05 17:08:29,445 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-07-05 17:08:29,445 ] 147 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\07_05_2026_16_57_05\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9910226122173473, precision_score=0.9897532695159769, recall_score=0.9922952149229521), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9888586956521739, precision_score=0.987516960651289, recall_score=0.990204081632653))
[ 2026-07-05 17:08:29,454 ] 41 root - INFO - Model Training artifact created
