[ 2026-07-05 16:27:04,280 ] 19 root - INFO - Initiate the data ingestion
[ 2026-07-05 16:27:27,172 ] 64 root - INFO - Performed train test split on the dataframe
[ 2026-07-05 16:27:27,172 ] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-07-05 16:27:27,172 ] 74 root - INFO - Exporting train and test file path.
[ 2026-07-05 16:27:27,345 ] 83 root - INFO - Exported train and test file path.
[ 2026-07-05 16:27:27,345 ] 21 root - INFO - Data Initiation Completed
[ 2026-07-05 16:27:27,374 ] 25 root - INFO - Initiate the data Validation
[ 2026-07-05 16:27:27,462 ] 32 root - INFO - Required number of columns:2
[ 2026-07-05 16:27:27,462 ] 33 root - INFO - Data frame has columns:31
[ 2026-07-05 16:27:27,462 ] 32 root - INFO - Required number of columns:2
[ 2026-07-05 16:27:27,462 ] 33 root - INFO - Data frame has columns:31
[ 2026-07-05 16:27:27,803 ] 27 root - INFO - data Validation Completed
[ 2026-07-05 16:27:27,803 ] 30 root - INFO - data Transformation started
[ 2026-07-05 16:27:27,803 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-07-05 16:27:27,803 ] 65 root - INFO - Starting data transformation
[ 2026-07-05 16:27:27,873 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-07-05 16:27:27,873 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-07-05 16:27:27,942 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-07-05 16:27:27,942 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-07-05 16:27:27,942 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-07-05 16:27:27,942 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-07-05 16:27:27,958 ] 34 root - INFO - data Transformation completed
[ 2026-07-05 16:27:27,958 ] 36 root - INFO - Model Training sstared
