[ 2026-07-04 17:47:12,957 ] 16 root - INFO - Initiate the data ingestion
[ 2026-07-04 17:47:35,071 ] 64 root - INFO - Performed train test split on the dataframe
[ 2026-07-04 17:47:35,071 ] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-07-04 17:47:35,071 ] 74 root - INFO - Exporting train and test file path.
[ 2026-07-04 17:47:35,237 ] 83 root - INFO - Exported train and test file path.
[ 2026-07-04 17:47:35,238 ] 18 root - INFO - Data Initiation Completed
[ 2026-07-04 17:47:35,244 ] 22 root - INFO - Initiate the data Validation
[ 2026-07-04 17:47:35,340 ] 32 root - INFO - Required number of columns:2
[ 2026-07-04 17:47:35,340 ] 33 root - INFO - Data frame has columns:31
[ 2026-07-04 17:47:35,341 ] 32 root - INFO - Required number of columns:2
[ 2026-07-04 17:47:35,341 ] 33 root - INFO - Data frame has columns:31
[ 2026-07-04 17:47:35,636 ] 24 root - INFO - data Validation Completed
[ 2026-07-04 17:47:35,637 ] 27 root - INFO - data Transformation started
[ 2026-07-04 17:47:35,637 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-07-04 17:47:35,637 ] 65 root - INFO - Starting data transformation
[ 2026-07-04 17:47:35,707 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-07-04 17:47:35,707 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-07-04 17:47:36,026 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-07-04 17:47:36,029 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-07-04 17:47:36,029 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-07-04 17:47:36,032 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-07-04 17:47:36,034 ] 31 root - INFO - data Transformation completed
