[ 2026-07-04 16:09:06,626 ] 15 root - INFO - Initiate the data ingestion
[ 2026-07-04 16:09:29,184 ] 64 root - INFO - Performed train test split on the dataframe
[ 2026-07-04 16:09:29,184 ] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-07-04 16:09:29,189 ] 74 root - INFO - Exporting train and test file path.
[ 2026-07-04 16:09:29,384 ] 83 root - INFO - Exported train and test file path.
[ 2026-07-04 16:09:29,385 ] 17 root - INFO - Data Initiation Completed
[ 2026-07-04 16:09:29,413 ] 21 root - INFO - Initiate the data Validation
[ 2026-07-04 16:09:29,510 ] 32 root - INFO - Required number of columns:2
[ 2026-07-04 16:09:29,510 ] 33 root - INFO - Data frame has columns:31
[ 2026-07-04 16:09:29,510 ] 32 root - INFO - Required number of columns:2
[ 2026-07-04 16:09:29,510 ] 33 root - INFO - Data frame has columns:31
[ 2026-07-04 16:09:29,843 ] 23 root - INFO - data Validation Completed
